folder,favorite,type,name,notes,fields,reprompt,login_uri,login_username,login_password,login_totp
githubfolder,1,login,firstExample,"this is a note for the first password this is in the favorites too",,0,jujuyoyo.com,username1,password,
githubfolder,,login,secondExample,"this is a note for the 2nd account it is not in my favorites",,0,gmail.com,username2,password123,
githubfolder,1,login,thirdExample,"this is a note",,0,jujuyoyo.com,username1,123456789,
githubfolder,,login,fourthExample,"this is a note",,0,gmail.com,username2,password1,
githubfolder,1,login,firstExample,"this is a note",,0,jujuyoyo.com,username1,iloveyou,
githubfolder,,login,secondExample,"this is a note",,0,gmail.com,username2,letmein,
githubfolder,,login,secondExample,"this is a note",,0,gmail.com,username2,abc123,
test_folder,1,login,TestAccount_1,Demo login for testing,,0,https://demoservice.org,test_user_169,TestPass942,
test_folder,1,login,TestAccount_2,Sample account for documentation,,0,https://demoservice.org,test_user_567,Admin377#,
test_folder,,login,TestAccount_3,Demo login for testing,,0,https://samplesite.edu,demo_admin_34,Password436!,
test_folder,1,login,TestAccount_4,Mock user for system testing,,0,https://testapp.net,test_user_422,Admin375#,
test_folder,1,login,TestAccount_5,Sample account for documentation,,0,https://demoservice.org,demo_cat_42,Admin225#,
test_folder,,login,TestAccount_6,Mock user for system testing,,0,https://samplesite.edu,sample_banking_7,Admin570#,
test_folder,1,login,TestAccount_7,Demo login for testing,,0,https://samplesite.edu,demo_test_41,Admin105#,
test_folder,,login,TestAccount_8,Demo login for testing,,0,https://samplesite.edu,test_user_156,TestPass754,
test_folder,,login,TestAccount_9,Mock user for system testing,,0,https://demoservice.org,test_user_215,Password781!,
test_folder,,login,TestAccount_10,Test account for development,,0,https://samplesite.edu,test_user_816,Admin774#,
test_folder,1,login,TestAccount_11,Mock user for system testing,,0,https://demoservice.org,demo_work_94,Password229!,
test_folder,1,login,TestAccount_12,Test account for development,,0,https://samplesite.edu,sample_banking_7,Admin622#,
test_folder,,login,TestAccount_13,Test account for development,,0,https://mocksite.com,sample_banking_69,TestPass168,
test_folder,,login,TestAccount_14,Mock user for system testing,,0,https://mocksite.com,test_user_979,Password605!,
test_folder,1,login,TestAccount_15,Sample account for documentation,,0,https://mocksite.com,demo_password_32,Admin864#,
test_folder,1,login,TestAccount_16,Sample account for documentation,,0,https://samplesite.edu,demo_cat_27,Admin888#,
test_folder,,login,TestAccount_17,Sample account for documentation,,0,https://demoservice.org,sample_social_48,Password908!,
test_folder,1,login,TestAccount_18,Test account for development,,0,https://demoservice.org,test_user_651,Password766!,
test_folder,1,login,TestAccount_19,Mock user for system testing,,0,https://testapp.net,sample_shopping_91,Admin445#,
test_folder,1,login,TestAccount_20,Mock user for system testing,,0,https://mocksite.com,sample_email_70,Admin148#,
test_folder,1,login,TestAccount_21,Demo login for testing,,0,https://testapp.net,sample_shopping_1,Password769!,
test_folder,,login,TestAccount_22,Sample account for documentation,,0,https://mocksite.com,demo_cat_82,TestPass772,
test_folder,1,login,TestAccount_23,Mock user for system testing,,0,https://demoservice.org,sample_banking_86,Admin852#,
test_folder,,login,TestAccount_24,Test account for development,,0,https://mocksite.com,test_user_346,TestPass976,
test_folder,1,login,TestAccount_25,Test account for development,,0,https://mocksite.com,demo_cat_17,Password448!,
